Latitude,Longitude,landslide
25.232417,92.178881,1
25.233583,92.209583,1
25.234922,92.095531,1
25.236428,92.096172,1
25.23707,91.43212,1
25.237361,92.096992,1
25.23908,90.63944,1
25.243358,91.747094,1
25.25419,90.21486,1
25.258603,92.38555,1
25.261117,92.385231,1
25.2625,92.384639,1
25.264575,92.381497,1
25.274,92.373944,1
25.280528,92.380042,1
25.281122,92.345397,1
25.282267,92.341433,1
25.28236861,91.73874417,1
25.296,91.932,1
25.297628,92.387525,1
25.300389,91.726722,1
25.31458,91.45242,1
25.31488,91.44913,1
25.31488,91.33367,1
25.315176,91.923021,1
25.31848,91.45262,1
25.320833,91.9275,1
25.345,91.891,1
25.359281,91.035939,1
25.361056,91.034889,1
25.37539167,92.431275,1
25.382563,91.757675,1
25.38803,91.46977,1
25.40023,91.5159,1
25.4013,91.45855,1
25.403061,90.724166,1
25.40547,91.53712,1
25.407917,91.998889,1
25.425,91.405,1
25.430167,91.866528,1
25.43561,91.862056,1
25.44465,91.34622,1
25.44889,92.19417,1
25.450628,91.817767,1
25.49736111,91.77902778,1
25.49833333,91.73361111,1
25.5,90.22,1
25.5,90.22,1
25.50335,91.28335,1
25.50368056,91.72342222,1
25.504083,91.723028,1
25.50667,91.28318,1
25.507586,91.708236,1
25.509233,91.703961,1
25.509358,91.719631,1
25.51,90.21,1
25.51028,90.21678,1
25.51973,91.28443,1
25.520356,91.537764,1
25.5208,91.25985,1
25.523,91.521389,1
25.524931,91.514383,1
25.53,89.98,1
25.53,89.98,1
25.535628,91.679575,1
25.537972,91.602361,1
25.54231,92.1,1
25.54261,92.10867,1
25.54261,92.09842,1
25.54264,92.10214,1
25.542744,91.662067,1
25.54328,92.10478,1
25.548089,91.647706,1
25.548306,91.61775,1
25.549789,91.645033,1
25.55,90.33,1
25.5502,91.618106,1
25.56,90.37,1
25.56667,91.90194,1
25.568056,91.737944,1
25.568106,91.737919,1
25.57822,91.86545,1
25.6,90.03,1
25.61,90.29,1
25.61,90.29,1
25.616596,91.876562,1
25.619625,91.616567,1
25.62,91.88272222,1
25.620361,91.617083,1
25.6251,91.9118,1
25.625142,90.791675,1
25.625331,91.182614,1
25.633896,91.891833,1
25.636747,91.162711,1
25.637026,91.844464,1
25.64906111,91.89733611,1
25.64908889,91.899,1
25.65,90.38,1
25.65060556,91.89945278,1
25.660333,91.635083,1
25.660539,91.635431,1
25.663444,91.915944,1
25.667072,91.091972,1
25.667744,91.597819,1
25.68625,91.118358,1
25.687056,91.6485,1
25.687083,91.650858,1
25.687314,91.655378,1
25.687431,91.648322,1
25.687442,91.656183,1
25.687856,91.647944,1
25.688011,91.658069,1
25.691453,91.645731,1
25.692933,91.647703,1
25.692947,91.648044,1
25.69483,91.11836,1
25.695552,91.903777,1
25.696489,91.644528,1
25.6999,91.642192,1
25.700053,91.644486,1
25.75634,92.017832,1
25.759278,91.882861,1
25.760611,91.88225,1
25.763347,91.657153,1
25.776087,92.03754,1
25.787,91.876583,1
25.79,90.44,1
25.795444,91.662111,1
25.796657,92.143462,1
25.83,91.05,1
25.852222,91.881361,1
25.853111,91.881583,1
25.86575,92.153286,1
25.865894,91.880278,1
25.874293,92.018322,1
25.895583,91.599333,1
25.913997,91.578903,1
25.9235,91.574222,1
25.92792,91.87717,1
25.927972,91.877194,1
25.930386,91.571822,1
25.934889,91.714389,1
25.935708,91.714556,1
25.935833,91.56525,1
25.935908,91.564903,1
25.936583,91.563917,1
25.937,91.87553,1
25.940439,91.563069,1
25.940978,91.724644,1
25.945225,91.560703,1
25.945619,91.548883,1
25.951106,91.968889,1
25.9545,91.546622,1
25.954889,91.858667,1
25.956333,91.85725,1
25.956781,91.852883,1
25.95847,91.85406,1
25.96,91.857,1
25.970032,92.056762,1
25.970062,92.054889,1
25.971897,91.562372,1
25.972322,91.561125,1
25.972469,91.560822,1
25.97256,91.86242,1
25.972964,91.858336,1
25.978481,91.569575,1
25.978803,91.860278,1
25.979244,91.860578,1
25.982436,92.057405,1
25.994619,91.577214,1
25.997033,91.86235,1
25.998847,91.863883,1
26.00294,91.86692,1
